round,arm,reps,bytes,cycles,instructions,llc_load_misses,task_clock_ms,rdtsc_cyc,rdtsc_cpb
1,a,2000,125162000,999890915,2397617418,1762147,718.04,652621720,5.2142
1,b,2000,125162000,880981833,1986133103,1965804,634.69,550141412,4.3954
1,a,4000,250324000,1640215339,4377290517,1960569,1176.79,1296737208,5.1802
1,b,4000,250324000,1428961995,3568424554,1978149,1027.14,1092881412,4.3659
2,a,2000,125162000,982425919,2387648628,1971776,704.73,647111536,5.1702
2,b,2000,125162000,879219284,1989660866,1971789,632.24,548125660,4.3793
2,a,4000,250324000,1645426724,4376266168,1976862,1180.68,1302348684,5.2027
2,b,4000,250324000,1429821613,3569451335,1987147,1027.93,1095058956,4.3746
3,a,2000,125162000,990981181,2388147559,2023007,711.20,652319316,5.2118
3,b,2000,125162000,880479344,1988307759,2009248,633.22,546588762,4.3671
3,a,4000,250324000,1638790208,4375555190,1977640,1175.27,1296083972,5.1776
3,b,4000,250324000,1429560345,3574824211,1962960,1027.99,1095868428,4.3778
4,a,2000,125162000,984448701,2390894225,1956655,706.38,650057590,5.1937
4,b,2000,125162000,880435533,1991743451,1992427,633.15,548709426,4.3840
4,a,4000,250324000,1639801379,4375479107,1961470,1175.90,1298890918,5.1888
4,b,4000,250324000,1428922691,3571026128,1975664,1027.81,1095778512,4.3774
5,a,2000,125162000,985776819,2390690469,1946674,707.41,651629948,5.2063
5,b,2000,125162000,879366287,1989506126,1965250,632.77,548399774,4.3815
5,a,4000,250324000,1646426097,4377754526,1980530,1181.64,1304966088,5.2131
5,b,4000,250324000,1430676135,3570876679,1994834,1028.70,1095257298,4.3754
6,a,2000,125162000,981514910,2390637292,1957063,704.08,647566016,5.1738
6,b,2000,125162000,877269925,1987447251,1961054,630.51,547481680,4.3742
6,a,4000,250324000,1637344988,4376558849,1944889,1174.35,1297921798,5.1850
6,b,4000,250324000,1424171037,3572889594,1965311,1023.58,1089556334,4.3526
7,a,2000,125162000,982658092,2390677578,1984411,704.85,648584454,5.1820
7,b,2000,125162000,875610336,1989037907,1977423,629.63,545334270,4.3570
7,a,4000,250324000,1638086635,4374590881,1955582,1175.14,1302626346,5.2038
7,b,4000,250324000,1423703753,3570754565,1939690,1023.24,1093435760,4.3681
8,a,2000,125162000,983365578,2389707353,1946217,705.78,652265770,5.2114
8,b,2000,125162000,878865486,1989459530,1943250,632.08,548754500,4.3844
8,a,4000,250324000,1643635689,4374080396,1959379,1179.49,1306268582,5.2183
8,b,4000,250324000,1427931640,3572666757,1919026,1027.70,1100529692,4.3964
9,a,2000,125162000,981580275,2391801027,1933303,704.52,650741354,5.1992
9,b,2000,125162000,878496627,1988661525,1920030,631.80,549528622,4.3905
9,a,4000,250324000,1634342234,4378575084,1939250,1172.14,1297708806,5.1841
9,b,4000,250324000,1424097164,3571388066,1950539,1023.58,1090031260,4.3545
10,a,2000,125162000,981974620,2389455279,1950122,704.22,651219618,5.2030
10,b,2000,125162000,879742077,1987233674,1976460,632.69,545549142,4.3587
10,a,4000,250324000,1642056384,4372949945,1961576,1177.90,1300499902,5.1953
10,b,4000,250324000,1431793576,3575333030,1991116,1029.43,1095528458,4.3764
11,a,2000,125162000,981127692,2390460713,1981171,703.68,648525230,5.1815
11,b,2000,125162000,879976723,1985103947,2014798,632.69,545884354,4.3614
11,a,4000,250324000,1646069232,4380377371,1989967,1180.90,1305525174,5.2153
11,b,4000,250324000,1430890325,3573611551,1941679,1029.21,1095400430,4.3759
12,a,2000,125162000,988223125,2384586455,1944622,708.54,646907482,5.1686
12,b,2000,125162000,883073437,1984647745,2025290,635.03,547918712,4.3777
12,a,4000,250324000,1645014033,4369126042,1981860,1179.89,1306664380,5.2199
12,b,4000,250324000,1435572175,3566976034,1995220,1032.84,1098422434,4.3880
13,a,2000,125162000,983322971,2385431398,1957943,706.14,651482732,5.2051
13,b,2000,125162000,876001316,1982859354,1958572,629.75,546619996,4.3673
13,a,4000,250324000,1636694140,4372470869,1979205,1173.77,1296365852,5.1788
13,b,4000,250324000,1432414951,3567144577,2002925,1030.06,1096361488,4.3798
14,a,2000,125162000,983062171,2386985594,1955526,705.60,652919208,5.2166
14,b,2000,125162000,879978475,1984288264,1956262,633.25,550053836,4.3947
14,a,4000,250324000,1632139296,4372664636,1967409,1170.76,1294134730,5.1698
14,b,4000,250324000,1435007950,3574997117,1997238,1031.43,1089150120,4.3510
15,a,2000,125162000,985627618,2382317573,1979196,707.38,649670350,5.1906
15,b,2000,125162000,883234595,1988102307,2041007,634.98,546936108,4.3698
15,a,4000,250324000,1650664811,4374815570,2015240,1184.09,1308474954,5.2271
15,b,4000,250324000,1430322040,3569446922,2004750,1028.50,1094262742,4.3714
