cell,corpus,threads,arm,rep,wall_s
T4,silesia.gz,4,BASE,1,0.998527
T4,silesia.gz,4,U16,1,2.014089
T4,silesia.gz,4,U16W,1,2.034967
T4,silesia.gz,4,U8,1,1.494821
T4,silesia.gz,4,BASE,2,0.998361
T4,silesia.gz,4,U16,2,2.006502
T4,silesia.gz,4,U16W,2,2.020051
T4,silesia.gz,4,U8,2,1.499659
T4,silesia.gz,4,BASE,3,1.004150
T4,silesia.gz,4,U16,3,2.037357
T4,silesia.gz,4,U16W,3,2.031108
T4,silesia.gz,4,U8,3,1.498667
T4,silesia.gz,4,BASE,4,1.008451
T4,silesia.gz,4,U16,4,2.024893
T4,silesia.gz,4,U16W,4,2.025625
T4,silesia.gz,4,U8,4,1.492995
T4,silesia.gz,4,BASE,5,0.996981
T4,silesia.gz,4,U16,5,2.012959
T4,silesia.gz,4,U16W,5,2.019537
T4,silesia.gz,4,U8,5,1.491816
T4,silesia.gz,4,BASE,6,1.000883
T4,silesia.gz,4,U16,6,2.013162
T4,silesia.gz,4,U16W,6,2.016794
T4,silesia.gz,4,U8,6,1.500943
T4,silesia.gz,4,BASE,7,1.006862
T4,silesia.gz,4,U16,7,2.020816
T4,silesia.gz,4,U16W,7,2.034472
T4,silesia.gz,4,U8,7,1.501503
T4,silesia.gz,4,BASE,8,1.008881
T4,silesia.gz,4,U16,8,2.022397
T4,silesia.gz,4,U16W,8,2.044316
T4,silesia.gz,4,U8,8,1.517178
T4,silesia.gz,4,BASE,9,1.015039
T4,silesia.gz,4,U16,9,2.007454
T4,silesia.gz,4,U16W,9,2.032233
T4,silesia.gz,4,U8,9,1.497284
T4,silesia.gz,4,BASE,10,1.013116
T4,silesia.gz,4,U16,10,2.013970
T4,silesia.gz,4,U16W,10,2.027800
T4,silesia.gz,4,U8,10,1.506848
T4,silesia.gz,4,BASE,11,1.005579
T4,silesia.gz,4,U16,11,2.029378
T4,silesia.gz,4,U16W,11,2.037779
T4,silesia.gz,4,U8,11,1.503072
T4,silesia.gz,4,BASE,12,1.005358
T4,silesia.gz,4,U16,12,2.025248
T4,silesia.gz,4,U16W,12,2.034540
T4,silesia.gz,4,U8,12,1.497648
T4,silesia.gz,4,BASE,13,1.002800
T4,silesia.gz,4,U16,13,2.050815
T4,silesia.gz,4,U16W,13,2.037337
T4,silesia.gz,4,U8,13,1.499423
T4,silesia.gz,4,BASE,14,1.003988
T4,silesia.gz,4,U16,14,2.020834
T4,silesia.gz,4,U16W,14,2.039127
T4,silesia.gz,4,U8,14,1.498497
T4,silesia.gz,4,BASE,15,1.003746
T4,silesia.gz,4,U16,15,2.009715
T4,silesia.gz,4,U16W,15,2.022240
T4,silesia.gz,4,U8,15,1.489741
T2,monorepo.gz,2,BASE,1,0.267164
T2,monorepo.gz,2,U16,1,0.339547
T2,monorepo.gz,2,U16W,1,0.341208
T2,monorepo.gz,2,U8,1,0.243470
T2,monorepo.gz,2,BASE,2,0.266436
T2,monorepo.gz,2,U16,2,0.339283
T2,monorepo.gz,2,U16W,2,0.343897
T2,monorepo.gz,2,U8,2,0.247145
T2,monorepo.gz,2,BASE,3,0.265723
T2,monorepo.gz,2,U16,3,0.338751
T2,monorepo.gz,2,U16W,3,0.342981
T2,monorepo.gz,2,U8,3,0.244778
T2,monorepo.gz,2,BASE,4,0.268362
T2,monorepo.gz,2,U16,4,0.340604
T2,monorepo.gz,2,U16W,4,0.344601
T2,monorepo.gz,2,U8,4,0.253820
T2,monorepo.gz,2,BASE,5,0.267192
T2,monorepo.gz,2,U16,5,0.341765
T2,monorepo.gz,2,U16W,5,0.343010
T2,monorepo.gz,2,U8,5,0.243949
T2,monorepo.gz,2,BASE,6,0.264983
T2,monorepo.gz,2,U16,6,0.338493
T2,monorepo.gz,2,U16W,6,0.340595
T2,monorepo.gz,2,U8,6,0.242648
T2,monorepo.gz,2,BASE,7,0.264982
T2,monorepo.gz,2,U16,7,0.338914
T2,monorepo.gz,2,U16W,7,0.340868
T2,monorepo.gz,2,U8,7,0.244302
T2,monorepo.gz,2,BASE,8,0.265072
T2,monorepo.gz,2,U16,8,0.336005
T2,monorepo.gz,2,U16W,8,0.339163
T2,monorepo.gz,2,U8,8,0.245094
T2,monorepo.gz,2,BASE,9,0.264996
T2,monorepo.gz,2,U16,9,0.338279
T2,monorepo.gz,2,U16W,9,0.341069
T2,monorepo.gz,2,U8,9,0.243870
T2,monorepo.gz,2,BASE,10,0.263989
T2,monorepo.gz,2,U16,10,0.340487
T2,monorepo.gz,2,U16W,10,0.342159
T2,monorepo.gz,2,U8,10,0.243382
T2,monorepo.gz,2,BASE,11,0.265067
T2,monorepo.gz,2,U16,11,0.337740
T2,monorepo.gz,2,U16W,11,0.339116
T2,monorepo.gz,2,U8,11,0.243862
T2,monorepo.gz,2,BASE,12,0.265932
T2,monorepo.gz,2,U16,12,0.339205
T2,monorepo.gz,2,U16W,12,0.340168
T2,monorepo.gz,2,U8,12,0.243633
T2,monorepo.gz,2,BASE,13,0.266886
T2,monorepo.gz,2,U16,13,0.337827
T2,monorepo.gz,2,U16W,13,0.339502
T2,monorepo.gz,2,U8,13,0.243718
T2,monorepo.gz,2,BASE,14,0.264731
T2,monorepo.gz,2,U16,14,0.337388
T2,monorepo.gz,2,U16W,14,0.341156
T2,monorepo.gz,2,U8,14,0.243584
T2,monorepo.gz,2,BASE,15,0.263618
T2,monorepo.gz,2,U16,15,0.339272
T2,monorepo.gz,2,U16W,15,0.340261
T2,monorepo.gz,2,U8,15,0.243591
