cell,arm,rep,wall_s
T4,GZ,1,1.006714
T4,RG,1,1.096860
T4,GZ,2,1.004027
T4,RG,2,1.092758
T4,GZ,3,0.997702
T4,RG,3,1.087856
T4,GZ,4,1.003141
T4,RG,4,1.163963
T4,GZ,5,1.011753
T4,RG,5,1.088427
T4,GZ,6,0.999053
T4,RG,6,1.099725
T4,GZ,7,1.001996
T4,RG,7,1.095508
T4,GZ,8,1.000212
T4,RG,8,1.096283
T4,GZ,9,1.002641
T4,RG,9,1.108066
T4,GZ,10,1.006190
T4,RG,10,1.103975
T4,GZ,11,1.014632
T4,RG,11,1.096066
T4,GZ,12,1.001487
T4,RG,12,1.107127
T4,GZ,13,1.006234
T4,RG,13,1.095253
T4,GZ,14,0.999544
T4,RG,14,1.108894
T4,GZ,15,1.002871
T4,RG,15,1.099425
T2,GZ,1,0.291482
T2,RG,1,0.332144
T2,GZ,2,0.265271
T2,RG,2,0.331828
T2,GZ,3,0.265361
T2,RG,3,0.332649
T2,GZ,4,0.264727
T2,RG,4,0.332356
T2,GZ,5,0.265707
T2,RG,5,0.330860
T2,GZ,6,0.267299
T2,RG,6,0.332472
T2,GZ,7,0.263390
T2,RG,7,0.332431
T2,GZ,8,0.264773
T2,RG,8,0.330609
T2,GZ,9,0.263221
T2,RG,9,0.331815
T2,GZ,10,0.264452
T2,RG,10,0.330944
T2,GZ,11,0.266747
T2,RG,11,0.331516
T2,GZ,12,0.264078
T2,RG,12,0.331039
T2,GZ,13,0.265524
T2,RG,13,0.333029
T2,GZ,14,0.264549
T2,RG,14,0.332616
T2,GZ,15,0.264227
T2,RG,15,0.334606
