cell,thr,arm,rep,wall_s
T2,2,GZ,1,0.197129
T2,2,RG,1,0.184843
T2,2,PIGZ,1,0.156001
T2,2,GZ,2,0.135578
T2,2,RG,2,0.151316
T2,2,PIGZ,2,0.150386
T2,2,GZ,3,0.133657
T2,2,RG,3,0.155982
T2,2,PIGZ,3,0.139129
T2,2,GZ,4,0.130039
T2,2,RG,4,0.148885
T2,2,PIGZ,4,0.153189
T2,2,GZ,5,0.135366
T2,2,RG,5,0.152342
T2,2,PIGZ,5,0.149457
T2,2,GZ,6,0.135375
T2,2,RG,6,0.154620
T2,2,PIGZ,6,0.143016
T2,2,GZ,7,0.131046
T2,2,RG,7,0.154865
T2,2,PIGZ,7,0.151864
T2,2,GZ,8,0.129695
T2,2,RG,8,0.151933
T2,2,PIGZ,8,0.150495
T2,2,GZ,9,0.130918
T2,2,RG,9,0.157395
T2,2,PIGZ,9,0.153080
T2,2,GZ,10,0.127012
T2,2,RG,10,0.151543
T2,2,PIGZ,10,0.141354
T2,2,GZ,11,0.129183
T2,2,RG,11,0.167100
T2,2,PIGZ,11,0.139011
T4,4,GZ,1,0.282339
T4,4,RG,1,0.264250
T4,4,PIGZ,1,0.778911
T4,4,GZ,2,0.241434
T4,4,RG,2,0.261312
T4,4,PIGZ,2,0.776355
T4,4,GZ,3,0.241597
T4,4,RG,3,0.262969
T4,4,PIGZ,3,0.729429
T4,4,GZ,4,0.245942
T4,4,RG,4,0.258498
T4,4,PIGZ,4,0.769966
T4,4,GZ,5,0.235835
T4,4,RG,5,0.253824
T4,4,PIGZ,5,0.723000
T4,4,GZ,6,0.236874
T4,4,RG,6,0.260131
T4,4,PIGZ,6,0.732838
T4,4,GZ,7,0.238708
T4,4,RG,7,0.260856
T4,4,PIGZ,7,0.768636
T4,4,GZ,8,0.243794
T4,4,RG,8,0.256444
T4,4,PIGZ,8,0.767825
T4,4,GZ,9,0.246940
T4,4,RG,9,0.263857
T4,4,PIGZ,9,0.766623
T4,4,GZ,10,0.248715
T4,4,RG,10,0.259408
T4,4,PIGZ,10,0.766972
T4,4,GZ,11,0.244198
T4,4,RG,11,0.255141
T4,4,PIGZ,11,0.721815
T8,8,GZ,1,0.184780
T8,8,RG,1,0.225377
T8,8,PIGZ,1,0.736723
T8,8,GZ,2,0.182346
T8,8,RG,2,0.245501
T8,8,PIGZ,2,0.730979
T8,8,GZ,3,0.186678
T8,8,RG,3,0.269129
T8,8,PIGZ,3,0.730335
T8,8,GZ,4,0.176823
T8,8,RG,4,0.201684
T8,8,PIGZ,4,0.730124
T8,8,GZ,5,0.184638
T8,8,RG,5,0.213518
T8,8,PIGZ,5,0.775805
T8,8,GZ,6,0.183869
T8,8,RG,6,0.227648
T8,8,PIGZ,6,0.719631
T8,8,GZ,7,0.200165
T8,8,RG,7,0.213860
T8,8,PIGZ,7,0.779963
T8,8,GZ,8,0.177707
T8,8,RG,8,0.206688
T8,8,PIGZ,8,0.767890
T8,8,GZ,9,0.179579
T8,8,RG,9,0.248374
T8,8,PIGZ,9,0.743543
T8,8,GZ,10,0.192138
T8,8,RG,10,0.214068
T8,8,PIGZ,10,0.722881
T8,8,GZ,11,0.191925
T8,8,RG,11,0.209335
T8,8,PIGZ,11,0.770142
